# Serious Injuries,# Visible Injuries,Agency Name (Crash Level) ,Date,Intersection Name (from Crash Report),KABCO Severity,Light Conditions (Crash Level),Location at Impact (Crash Level) ,Manner of Collision (Crash Level) ,Roadway (From Crash Report),Surface Condition (Crash Level) ,Time,Safety Equipment (Crash Level) ,Weather Conditions (Crash Level),# of Fatalities per Crash,Latitude,Longitude,Geolocated City,Geolocated County,Vehicle Condition (excluding No Known Defects),First Harmful Event (Unit Order),"Operator/Pedestrian Contrib Factor (excl None, Other, No Contrib Factors)",Most Harmful Event (Crash Level),crash_mode
0.0,1.0,Dekalb Co Police Department,2024-06-21,Haygood Dr and N Decatur Rd,(B) Suspected Minor/Visible Injury,Daylight,On Roadway - In Crosswalk,Not a Collision with Motor Vehicle,N Decatur Rd,Dry,14:37:00,"[""None Used"",""Lap and Shoulder Belt Used""]",Clear,0.0,33.79198483,-84.31469585,Atlanta,DeKalb,,"[""Motor Vehicle in Motion"",""Pedestrian""]","[""Disregard Other Traffic Control"",""Other Unit Contributed to Crash""]","[""Motor Vehicle in Motion"",""Pedestrian""]",Pedestrian
0.0,0.0,Decatur Police Department,2024-06-25,Atlanta Ave and W Howard Ave,(C) Possible Injury / Complaint,Daylight,On Roadway - Roadway Intersection,Not a Collision with Motor Vehicle,W Howard Ave,Dry,12:35:00,Lap and Shoulder Belt Used,Clear,0.0,33.76733119,-84.30478445,Decatur,DeKalb,,"[""Pedestrian"",""Motor Vehicle in Motion""]",Failure to Yield,"[""Pedestrian"",""Pedestrian""]",Pedestrian
0.0,1.0,Dekalb Co Police Department,2024-06-28,Columbia Dr and Memorial Dr,(B) Suspected Minor/Visible Injury,Daylight,On Roadway - Roadway Intersection,Not a Collision with Motor Vehicle,Memorial Dr,Dry,12:30:00,"[""None Used"",""Lap and Shoulder Belt Used""]",Clear,0.0,33.7548363,-84.26777899,Unincorporated,DeKalb,,"[""Pedestrian"",""Pedestrian""]",Other Unit Contributed to Crash,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Pedestrian
0.0,0.0,Dekalb Co Police Department,2024-06-28,Farris Dr and Glenwood Rd,(C) Possible Injury / Complaint,Daylight,On Roadway - Roadway Intersection,Not a Collision with Motor Vehicle,Glenwood Rd,Dry,17:23:00,None Used,Clear,0.0,33.73810969,-84.26177767,Unincorporated,DeKalb,,"[""Pedestrian"",""Pedestrian""]","[""Failure to Yield"",""Other Unit Contributed to Crash""]","[""Pedestrian"",""Pedestrian""]",Pedestrian
0.0,0.0,Emory Police Department,2024-07-03,Clifton Rd Ne and Lowergate Dr Ne,(C) Possible Injury / Complaint,Daylight,On Roadway - In Crosswalk,Not a Collision with Motor Vehicle,Lowergate Dr Ne,Dry,07:15:00,"[""Unknown"",""Unknown"",""Unknown""]",Clear,0.0,33.79187455,-84.32096541,Atlanta,DeKalb,,"[""Pedestrian"",""Motor Vehicle in Motion""]","[""Not Visible (Object, Person, or Vehicle)"",""Other Unit Contributed to Crash""]","[""Pedestrian"",""Motor Vehicle in Motion""]",Pedestrian
0.0,0.0,Dekalb Co Police Department,2024-07-05,Candler Rd and Glenwood Rd,(K) Fatal Injury,Daylight,Off Roadway - Sidewalk,Not a Collision with Motor Vehicle,Glenwood Rd,Dry,09:15:00,"[""Unknown"",""None Used""]",Cloudy,1.0,33.7388029,-84.28815253,Unincorporated,DeKalb,,"[""Curb"",""Motor Vehicle in Motion""]","[""Driver Lost Control - Speed Related"",""Other Unit Contributed to Crash""]","[""Pedestrian"",""Motor Vehicle in Motion""]",Pedestrian
0.0,1.0,Decatur Police Department,2024-07-12,None and 300 W Ponce De Leon Ave,(B) Suspected Minor/Visible Injury,Daylight,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,300 W Ponce De Leon Ave,Dry,09:05:00,None Used,Clear,0.0,33.77559897,-84.30055143,Decatur,DeKalb,,"[""Pedestrian"",""Pedestrian""]",,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Pedestrian
0.0,1.0,Dekalb Co Police Department,2024-07-16,Starvine Way and Clairmont Rd,(B) Suspected Minor/Visible Injury,Daylight,On Roadway - Roadway Intersection,Not a Collision with Motor Vehicle,Clairmont Rd,Dry,14:55:00,"[""None Used"",""Unknown""]",Clear,0.0,33.79871927,-84.30723827,Unincorporated,DeKalb,,"[""Motor Vehicle in Motion"",""Pedestrian""]","[""Disregard Other Traffic Control"",""Other Unit Contributed to Crash""]","[""Motor Vehicle in Motion"",""Pedestrian""]",Pedestrian
1.0,0.0,Dekalb Co Police Department,2024-07-18,Briarcliff Rd and Vista Valley Dr,(A) Suspected Serious Injury,Daylight,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,Briarcliff Rd,Wet,15:49:00,None Used,Rain,0.0,33.81494746,-84.33632383,Unincorporated,DeKalb,,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Driver Condition"",""Other Unit Contributed to Crash""]","[""Pedestrian"",""Motor Vehicle in Motion""]",Pedestrian
1.0,0.0,Atlanta Police Department,2024-08-02,Glenwood Ave Se and Fayetteville Rd Se,(A) Suspected Serious Injury,Daylight,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,Glenwood Ave Se,Dry,14:38:00,"[""Unknown"",""None Used""]",Clear,0.0,33.74005358,-84.31053206,Atlanta,DeKalb,,"[""Pedestrian"",""Motor Vehicle in Motion""]","[""Other Unit Contributed to Crash"",""Disregard Other Traffic Control""]","[""Pedestrian"",""Motor Vehicle in Motion""]",Pedestrian
0.0,0.0,Atlanta Police Department,2024-08-04,None and I-20 Rp,(K) Fatal Injury,Dark-Lighted,On Shoulder,Not a Collision with Motor Vehicle,I-20 Rp,Dry,01:30:00,,Clear,1.0,33.74534637,-84.34544457,Atlanta,DeKalb,,"[""Pedestrian"",""Motor Vehicle in Motion""]",Reckless Driving,"[""Pedestrian"",""Motor Vehicle in Motion""]",Pedestrian
0.0,0.0,Decatur Police Department,2024-08-06,Avery St and E College Ave,(C) Possible Injury / Complaint,Daylight,On Roadway - Roadway Intersection,Not a Collision with Motor Vehicle,Avery St,Dry,08:19:00,Lap and Shoulder Belt Used,Clear,0.0,33.77177555,-84.29037388,Decatur,DeKalb,,"[""Motor Vehicle in Motion"",""Pedestrian""]",Failure to Yield,"[""Motor Vehicle in Motion"",""Pedestrian""]",Pedestrian
1.0,0.0,Dekalb Co Police Department,2024-08-16,Midway Rd and 3570 Columbia Dr,(A) Suspected Serious Injury,Daylight,On Roadway - Driveway Intersection,Not a Collision with Motor Vehicle,3570 Columbia Dr,Dry,00:00:00,"[""None Used"",""Lap and Shoulder Belt Used""]",Clear,0.0,33.75524713,-84.26830887,Unincorporated,DeKalb,,"[""Pedestrian"",""Motor Vehicle in Motion""]","[""Failure to Yield"",""Not Visible (Object, Person, or Vehicle)""]","[""Pedestrian"",""Motor Vehicle in Motion""]",Pedestrian
0.0,0.0,Dekalb Co Police Department,2024-08-18,Midway Rd and Covington Hwy,(K) Fatal Injury,Dark-Lighted,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,Covington Hwy,Wet,05:50:00,"[""None Used"",""Lap and Shoulder Belt Used""]",Clear,1.0,33.76551992,-84.25141871,Unincorporated,DeKalb,,"[""Motor Vehicle in Motion"",""Pedestrian""]",,"[""Pedestrian"",""Pedestrian""]",Pedestrian
0.0,0.0,Dekalb Co Police Department,2024-08-29,Lefferts Pl and Flat Shoals Rd,(C) Possible Injury / Complaint,Dark-Lighted,On Roadway - Roadway Intersection,Not a Collision with Motor Vehicle,Flat Shoals Rd,Dry,20:50:00,"[""Unknown"",""None Used""]",Clear,0.0,33.7251338,-84.32121604,Unincorporated,DeKalb,,"[""Pedestrian"",""Pedestrian""]",,"[""Pedestrian"",""Pedestrian""]",Pedestrian
0.0,0.0,Dekalb Co Police Department,2024-09-06,Milscott Dr and Dekalb Industrial Way,(C) Possible Injury / Complaint,Daylight,On Roadway - Roadway Intersection,Not a Collision with Motor Vehicle,Dekalb Industrial Way,Dry,11:33:00,"[""None Used"",""Unknown""]",Clear,0.0,33.79612887,-84.278231,Unincorporated,DeKalb,,"[""Motor Vehicle in Motion"",""Pedestrian""]",Other Unit Contributed to Crash,"[""Motor Vehicle in Motion"",""Pedestrian""]",Pedestrian
0.0,0.0,Dekalb Co Police Department,2024-09-10,Mcafee Rd and Columbia Dr,(C) Possible Injury / Complaint,Daylight,On Roadway - Roadway Intersection,Not a Collision with Motor Vehicle,Mcafee Rd,Dry,15:10:00,None Used,Clear,0.0,33.73144705,-84.25215709,Unincorporated,DeKalb,,"[""Pedestrian"",""Pedestrian""]","[""Disregard Stop Sign/Signal"",""Other Unit Contributed to Crash""]","[""Pedestrian"",""Pedestrian""]",Pedestrian
0.0,0.0,Atlanta Police Department,2024-09-14,Kirkwood Rd Ne and Hosea L Williams Dr Se,(O) No Injury,Daylight,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,Hosea L Williams Dr Se,Wet,11:44:00,Unknown,Rain,0.0,33.75118668,-84.32185724,Atlanta,DeKalb,,"[""Pedestrian"",""Pedestrian"",""Pedestrian""]",,"[""Pedestrian"",""Pedestrian"",""Pedestrian""]",Pedestrian
0.0,0.0,Dekalb Co Police Department,2024-09-16,Calhoun St and N Decatur Rd,(K) Fatal Injury,Dark-Not Lighted,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,N Decatur Rd,Dry,00:00:00,"[""Unknown"",""None Used""]",Clear,1.0,33.79295686,-84.26004351,Unincorporated,DeKalb,,"[""Pedestrian"",""Motor Vehicle in Motion""]",,"[""Pedestrian"",""Motor Vehicle in Motion""]",Pedestrian
0.0,0.0,Atlanta Police Department,2024-09-24,Emerson St Se and Brownwood Ave Se,(C) Possible Injury / Complaint,Daylight,On Roadway - Driveway Intersection,Angle Crash,Brownwood Ave Se,Dry,11:35:00,Lap and Shoulder Belt Used,Clear,0.0,33.7385176,-84.34803534,Atlanta,DeKalb,,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Pedestrian""]","[""Improper Backing"",""Other Unit Contributed to Crash"",""Other Unit Contributed to Crash""]","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Pedestrian
0.0,1.0,Dekalb Co Police Department,2024-09-24,Memorial Dr and Covington Dr,(B) Suspected Minor/Visible Injury,Dark-Not Lighted,On Roadway - Non-Intersection,Not a Collision with Motor Vehicle,Covington Dr,Dry,23:55:00,"[""Unknown"",""Non-Motorist Lighting""]",Clear,0.0,33.76239343,-84.25758677,Unincorporated,DeKalb,,"[""Pedestrian"",""Pedestrian""]","Not Visible (Object, Person, or Vehicle)","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",Pedestrian
