station_complex_id,station_complex,borough,ridership,transfers,lat,lon,daily_avg,transfer_ratio
51,"Kings Hwy (B,Q)",Brooklyn,248816.0,51078.0,40.60867,-73.95773,13095.578947368422,0.205
327,"Chambers St (1,2,3)",Manhattan,248684.0,1917.0,40.715477,-74.00927,13088.631578947368,0.008
265,"Grand Av-Newtown (M,R)",Queens,247510.0,51474.0,40.737015,-73.87722,13026.842105263158,0.208
311,86 St (1),Manhattan,245216.0,14173.0,40.788643,-73.97622,12906.105263157895,0.058
475,96 St (Q),Manhattan,243591.0,15821.0,40.784317,-73.94715,12820.578947368422,0.065
328,WTC Cortlandt (1),Manhattan,239125.0,611.0,40.711834,-74.01219,12585.526315789473,0.003
359,"Flatbush Av-Brooklyn College (2,5)",Brooklyn,236323.0,53265.0,40.632835,-73.94764,12438.052631578947,0.225
456,61 St-Woodside (7),Queens,236193.0,16110.0,40.74563,-73.902985,12431.21052631579,0.068
452,90 St-Elmhurst Av (7),Queens,236162.0,1393.0,40.74841,-73.87661,12429.578947368422,0.006
16,"8 St-NYU (R,W)",Manhattan,235556.0,1456.0,40.730328,-73.99263,12397.684210526315,0.006
169,"Canal St (A,C,E)",Manhattan,235207.0,519.0,40.720825,-74.005226,12379.315789473685,0.002
235,York St (F),Brooklyn,234069.0,2022.0,40.701397,-73.98675,12319.421052631578,0.009
407,Astor Pl (6),Manhattan,233433.0,1973.0,40.730053,-73.99107,12285.947368421053,0.008
396,96 St (6),Manhattan,231490.0,13007.0,40.78567,-73.95107,12183.684210526315,0.056
434,"3 Av-149 St (2,5)",Bronx,230962.0,24592.0,40.81611,-73.917755,12155.894736842105,0.106
276,"5 Av/53 St (E,F)",Manhattan,230197.0,1973.0,40.760166,-73.97523,12115.631578947368,0.009
234,East Broadway (F),Manhattan,225792.0,3484.0,40.713715,-73.99017,11883.78947368421,0.015
254,Jamaica-179 St (F),Queens,221503.0,93949.0,40.712646,-73.78381,11658.052631578947,0.424
32,"36 St (D,N,R)",Brooklyn,220492.0,9976.0,40.655144,-74.00355,11604.842105263158,0.045
168,"Spring St (C,E)",Manhattan,219012.0,441.0,40.726227,-74.00374,11526.947368421053,0.002
8,"5 Av/59 St (N,R,W)",Manhattan,218125.0,7553.0,40.764812,-73.97335,11480.263157894737,0.035
223,"Lexington Av/63 St (M,Q)",Manhattan,217858.0,28926.0,40.76463,-73.96611,11466.21052631579,0.133
312,79 St (1),Manhattan,214639.0,10250.0,40.783936,-73.97992,11296.78947368421,0.048
307,116 St-Columbia University (1),Manhattan,212643.0,2233.0,40.80772,-73.96411,11191.736842105263,0.011
626,"Franklin Av-Medgar Evers College/Botanic Garden (2,3,4,5,S)",Brooklyn,210920.0,1723.0,40.670513,-73.95869,11101.052631578947,0.008
449,111 St (7),Queens,206016.0,9503.0,40.75173,-73.85533,10842.947368421053,0.046
461,"Queensboro Plaza (7,N,W)",Queens,204957.0,13539.0,40.750584,-73.9402,10787.21052631579,0.066
413,"Wall St (4,5)",Manhattan,204789.0,2111.0,40.707558,-74.01186,10778.368421052632,0.01
324,Houston St (1),Manhattan,201176.0,676.0,40.728252,-74.00536,10588.21052631579,0.003
1,"Astoria-Ditmars Blvd (N,W)",Queens,201164.0,12350.0,40.775036,-73.91203,10587.578947368422,0.061
458,46 St-Bliss St (7),Queens,200182.0,7888.0,40.743134,-73.918434,10535.894736842105,0.039
453,82 St-Jackson Hts (7),Queens,199076.0,11340.0,40.747658,-73.8837,10477.684210526315,0.057
181,"Utica Av (A,C)",Brooklyn,198355.0,27299.0,40.679363,-73.93073,10439.736842105263,0.138
159,"81 St-Museum of Natural History (C,B)",Manhattan,195010.0,12101.0,40.781433,-73.972145,10263.684210526315,0.062
44,"Church Av (B,Q)",Brooklyn,193998.0,10123.0,40.650528,-73.96298,10210.421052631578,0.052
319,28 St (1),Manhattan,192359.0,529.0,40.747215,-73.99336,10124.157894736842,0.003
323,Christopher St-Stonewall (1),Manhattan,190817.0,1020.0,40.73342,-74.00291,10043.0,0.005
439,"125 St (2,3)",Manhattan,190344.0,12481.0,40.807755,-73.945496,10018.105263157895,0.066
320,23 St (1),Manhattan,188702.0,8670.0,40.74408,-73.99566,9931.684210526315,0.046
409,Spring St (6),Manhattan,188600.0,421.0,40.7223,-73.99714,9926.315789473685,0.002
58,"Coney Island-Stillwell Av (D,F,N,Q)",Brooklyn,184549.0,27243.0,40.577423,-73.98123,9713.105263157895,0.148
