stop_id,stop_name,stop_lat,stop_lon,access_category,access_category_v2,pedestrian_access_score,pas_v2,detour_factor,reach_ratio_5,reach_ratio_10,area_5min_m2,area_10min_m2,intersection_density_km2,dead_end_ratio,circuity,avg_street_len_m,snap_dist_m,pop_5min_crowflies,pop_5min_network,pop_10min_network,access_gap_pct,transit_share,gtfs_routes,gtfs_trips,crashes_200m,crashes_per_1k_10min,pipeline,suppressed_demand,priority_score
107288,SNAPFINGER RD @ WILLAMETTE WAY,33.7323,-84.2459,No Infrastructure,No Infrastructure,0.0,0.0,1.2089,0.3031,0.3331,165331.9483,726761.1366,141.7644,0.16,1.0329,68.2311,17.6374,754.9241,229.2084,1024.2149,0.6964,0.0276,1,267,0,0.0,planned,0.05,0.0
107290,SNAPFINGER RD @ GLENMAR DR,33.732,-84.2443,No Infrastructure,No Infrastructure,0.0,0.0,1.2017,0.2717,0.3486,148164.4156,760632.1327,109.0491,0.0,1.0208,89.8561,15.8929,754.9241,205.4082,1042.7675,0.7279,0.0276,1,267,0,0.0,planned,0.0491,0.0
107294,MEMORIAL DR @ COLUMBIA DR,33.7554,-84.2672,Good,Good,85.0,83.8,1.1907,0.6384,0.4526,348166.1479,987408.0679,1126.2411,0.0744,1.0799,31.1609,1.1609,581.4432,371.8596,1051.7671,0.3605,0.186,1,259,6,5.7047,none,0.0321,0.0328
107296,MEMORIAL DR @ 3480,33.7532,-84.2706,Good,Good,85.0,83.9,1.1888,0.3837,0.386,209276.7389,842172.792,1536.2233,0.0502,1.0937,28.5499,31.8513,477.3151,184.045,836.4899,0.6144,0.0646,1,259,1,1.1955,none,0.0095,0.0157
107304,MEMORIAL DR @ CARTER RD,33.7502,-84.2758,Good,Good,79.3,76.9,1.1198,0.2928,0.3064,159675.0831,668374.6694,759.4671,0.1441,1.1084,28.5715,6.0237,493.6015,142.6442,605.6708,0.711,0.0646,1,259,2,3.3021,none,0.0013,0.0022
107306,MEMORIAL DR @ RUPERT RD,33.7506,-84.2747,Good,Good,79.0,73.6,1.0561,0.3781,0.3981,206213.6252,868587.3402,589.6826,0.1408,1.1823,31.1592,4.7664,490.1505,184.0742,785.1647,0.6245,0.0614,1,259,2,2.5472,none,0.0007,0.0012
107308,MEMORIAL DR @ BELVEDERE PLAZA,33.7527,-84.2711,Good,Good,85.0,84.7,1.1283,0.3931,0.3626,214423.1495,791122.6647,1085.708,0.0667,1.1212,32.0851,7.0777,471.7511,183.2606,771.6878,0.6115,0.0646,1,266,1,1.2959,none,0.0031,0.0051
107314,PEACHCREST RD @ LONGLEAF DR,33.7472,-84.2516,Moderate,Moderate,68.6,60.3,1.1135,0.1751,0.3141,95503.9601,685261.1682,135.5231,0.1875,1.0065,94.3427,24.0312,678.7683,127.4085,784.3081,0.8123,0.1302,1,267,0,0.0,none,0.0102,0.0115
107318,COLUMBIA DR @ MCKENZIE DR,33.743,-84.2575,No Infrastructure,No Infrastructure,0.0,0.0,1.1443,0.2403,0.3413,131064.5439,744567.0199,372.1457,0.1951,1.1167,48.5497,14.1993,604.8235,139.1354,871.2685,0.77,0.0614,1,267,0,0.0,none,0.0382,0.0671
107320,COLUMBIA DR @ SNAPFINGER RD,33.7334,-84.2522,No Infrastructure,No Infrastructure,0.0,0.0,1.166,0.3337,0.329,182009.8608,717662.8623,126.0082,0.037,1.1398,78.1183,25.1613,884.1907,290.4932,1089.9341,0.6715,0.076,1,273,0,0.0,planned,0.1165,0.0
107322,COLUMBIA DR @ HYLAND DR,33.7301,-84.2523,No Infrastructure,No Infrastructure,0.0,0.0,1.2775,0.3518,0.3065,191858.3446,668673.9488,146.2832,0.0,1.1156,77.3083,14.6316,881.7384,303.6748,1073.6783,0.6556,0.0971,1,273,3,2.7941,none,0.2779,0.3445
107328,GLENWOOD RD @ FARRIS DR,33.738,-84.2617,No Infrastructure,No Infrastructure,0.0,0.0,1.0611,0.3136,0.3502,171066.0991,764116.3283,259.0558,0.0556,1.3461,61.1234,12.611,793.1968,248.9214,1099.8485,0.6862,0.076,1,267,2,1.8184,none,0.0117,0.0172
107332,COLUMBIA DR @ BOBOLINK DR,33.7474,-84.2623,No Infrastructure,No Infrastructure,0.0,0.0,1.1397,0.2208,0.2501,120437.8322,545604.0561,628.9684,0.0882,1.1835,50.4031,19.3204,605.9239,131.2889,605.2475,0.7833,0.0614,1,267,0,0.0,none,0.007,0.0123
107334,PEACHCREST RD @ ORCHARD CIR,33.7539,-84.2502,No Infrastructure,No Infrastructure,0.0,0.0,1.2943,0.2621,0.2895,142946.2588,631647.8696,237.3224,0.0909,1.9611,156.5837,36.302,485.2532,121.7678,592.4015,0.7491,0.1302,1,273,0,0.0,none,0.0292,0.0329
107336,PEACHCREST RD @ MISTY VALLEY RD,33.7419,-84.2533,Moderate,Moderate,67.2,57.4,1.253,0.353,0.3544,192521.4445,773178.3692,266.9928,0.1148,1.1268,45.3007,7.6867,702.0574,255.6619,1045.2636,0.6358,0.1302,1,273,0,0.0,none,0.1094,0.1229
107338,COLUMBIA DR @ MCAFEE RD,33.7316,-84.2522,No Infrastructure,No Infrastructure,0.0,0.0,1.1246,0.4068,0.3588,221855.8559,782843.9487,108.752,0.069,1.1198,93.9062,18.2627,881.0669,357.0482,1276.4678,0.5948,0.076,1,273,2,1.5668,none,0.0914,0.1347
107346,MEMORIAL DR @ COLUMBIA DR,33.7542,-84.2686,Good,Good,85.0,83.3,1.1899,0.613,0.4393,334359.4914,958507.3383,1108.4354,0.0695,1.0912,29.0736,19.5689,526.1534,331.6204,996.3582,0.3697,0.0646,1,266,6,6.0219,none,0.0172,0.0283
107348,SNAPFINGER RD @ DR CRAWFORD LEWIS DR,33.7327,-84.2478,No Infrastructure,No Infrastructure,0.0,0.0,1.3253,0.2337,0.2954,127445.392,644498.6457,164.7466,0.2,1.0405,61.0981,6.9379,755.6581,177.7653,935.5343,0.7648,0.0276,1,267,0,0.0,planned,0.0604,0.0
