stop_id,stop_name,stop_lat,stop_lon,pedestrian_access_score,pas_v2,access_category,access_category_v2,has_nearby_sidewalk,has_road_sidewalk_tag,sidewalk_length_400m,road_sw_length_400m,crossing_count_200m,dist_nearest_infra_m,crashes_200m,ped_crashes_200m,bike_crashes_200m
117002,GLENWOOD AVE SE @ BROWNWOOD AVE SE,33.740123,-84.348179,85.0,84.9,Good,Good,True,False,6277.6,0.0,20,0.4,3,3,0
117004,MORELAND AVE SE @ BURNS ST SE,33.726488,-84.349483,67.6,63.3,Moderate,Moderate,True,False,1145.3,0.0,2,0.3,0,0,0
117006,MORELAND AVE SE @ LYNDALE DR SE,33.727819,-84.349449,63.2,56.7,Moderate,Moderate,True,False,785.6,0.0,2,1.1,0,0,0
117007,MORELAND AVE SE @ STONEYBROOK DR,33.729077,-84.349415,54.1,46.1,Moderate,Moderate,True,False,594.3,0.0,1,3.4,0,0,0
117008,MORELAND AVE SE @ EDEN AVE SE,33.730133,-84.349405,46.1,34.9,Moderate,Poor,True,False,490.2,0.0,0,13.2,0,0,0
117010,MORELAND AVE SE @ DELAWARE AVE SE,33.731905,-84.349394,9.1,16.4,No Infrastructure,Poor,False,False,727.0,0.0,0,209.1,0,0,0
117012,MORELAND AVE SE @ GRACEWOOD AVE SE,33.732863,-84.349384,32.9,47.7,Poor,Moderate,False,False,1566.7,0.0,2,146.0,0,0,0
117014,MORELAND AVE SE @ ORMEWOOD AVE SE,33.734177,-84.349401,85.0,80.3,Good,Good,True,False,2108.3,0.0,3,17.2,0,0,0
117016,MORELAND AVE SE @ HALL AVE SE,33.735095,-84.349397,85.0,80.4,Good,Good,True,False,2573.2,0.0,7,16.7,0,0,0
117018,MORELAND AVE SE @ BERNE ST SE,33.736101,-84.349383,85.0,84.1,Good,Good,True,False,3493.6,0.0,7,3.0,0,0,0
117022,MORELAND AVE SE @ PORTLAND AVE SE,33.739231,-84.3494,85.0,84.6,Good,Good,True,False,5901.7,0.0,13,1.3,3,3,0
117042,GLENWOOD AVE SE @ BROWNWOOD AVE,33.740256,-84.348368,85.0,84.6,Good,Good,True,False,6186.9,0.0,19,1.4,3,3,0
117098,MORELAND AVE SE @ BEECHVIEW DR SE,33.726089,-84.349319,74.0,65.2,Good,Moderate,True,False,1123.1,0.0,3,16.0,0,0,0
117100,MORELAND AVE SE @ LYNDALE DR SE,33.72731,-84.349319,66.0,57.1,Moderate,Moderate,True,False,1014.3,0.0,2,14.3,0,0,0
117102,MORELAND AVE SE @ DELAWARE AVE SE,33.731851,-84.349297,9.1,16.7,No Infrastructure,Poor,False,False,731.0,0.0,0,203.6,0,0,0
117104,MORELAND AVE SE @ GRACEWOOD AVE SE,33.732777,-84.349281,33.0,47.3,Poor,Moderate,False,False,1572.4,0.0,2,154.4,0,0,0
117106,MORELAND AVE SE @ ORMEWOOD AVE SE,33.733803,-84.349243,77.3,66.8,Good,Moderate,True,False,1916.3,0.0,2,40.9,0,0,0
117108,MORELAND AVE SE @ HALL ST SE,33.734894,-84.349236,85.0,84.5,Good,Good,True,False,2439.0,0.0,6,1.7,0,0,0
117110,MORELAND AVE SE @ BERNE ST SE,33.736067,-84.349254,85.0,83.6,Good,Good,True,False,3499.9,0.0,7,4.9,0,0,0
117112,MORELAND AVE SE @ WOODLAND AVE SE,33.737527,-84.349244,85.0,83.8,Good,Good,True,False,4805.2,0.0,6,4.2,1,1,0
117114,MORELAND AVE SE @ PORTLAND AVE,33.738838,-84.349197,85.0,84.6,Good,Good,True,False,5893.9,0.0,13,1.4,3,3,0
117116,MORELAND AVE SE @ GLENWOOD AVE SE,33.739948,-84.349152,85.0,84.3,Good,Good,True,False,5886.5,0.0,14,2.2,3,3,0
117118,MORELAND AVE SE @ METROPOLITAN AVE SE,33.74122,-84.34914,85.0,84.6,Good,Good,True,False,5483.5,0.0,14,1.5,3,3,0
117120,MORELAND AVE SE @ MCPHERSON AVE SE,33.743032,-84.349159,85.0,84.2,Good,Good,True,False,3758.0,0.0,15,2.6,1,1,0
117121,MORELAND AVE SE @ MEMORIAL DR SE,33.74743,-84.34909,85.0,88.1,Good,Good,True,False,4363.7,195.0,16,2.0,1,1,0
117122,MORELAND AVE @ STONEYBROOK DR,33.728714,-84.349251,54.6,42.6,Moderate,Moderate,True,False,633.6,0.0,1,18.9,0,0,0
117123,MORELAND AVE SE @ MERLIN AVE SE,33.749655,-84.349139,85.0,92.4,Good,Good,True,False,5988.4,404.0,14,0.6,0,0,0
117124,MORELAND AVE @ EDEN AVE,33.730061,-84.349296,46.2,34.5,Moderate,Poor,True,False,497.7,0.0,0,15.2,0,0,0
117127,MORELAND AVE SE @ WYLIE ST SE,33.752341,-84.349162,85.0,86.3,Good,Good,True,False,6718.9,118.4,11,3.0,1,1,0
117129,MORELAND AVE SE @ HOSEA L WILLIAMS DR NE,33.753504,-84.349173,85.0,82.7,Good,Good,True,False,6782.7,0.0,9,8.1,1,1,0
117131,MORELAND AVE NE @ HARDEE ST NE,33.755599,-84.349119,85.0,83.9,Good,Good,True,False,6718.3,0.0,10,3.7,0,0,0
127020,MORELAND AVE SE @ UNITED AVE,33.724538,-84.349522,75.7,71.4,Good,Good,True,False,1255.9,0.0,5,1.9,0,0,0
127021,MORELAND AVE @ VICKERS ST,33.721871,-84.3495,74.4,68.6,Good,Moderate,True,False,1153.8,0.0,9,5.3,0,0,0
127022,UNITED AVE @ MORELAND AVE SE,33.724001,-84.349609,75.8,71.3,Good,Good,True,False,1261.1,0.0,5,2.7,0,0,0
127052,MORELAND AVE SE @ VILLAGE CREEK LNDG,33.722184,-84.349424,74.9,67.9,Good,Moderate,True,False,1188.4,0.0,10,10.2,0,0,0
127053,MORELAND AVE @ SKY HAVEN RD,33.724377,-84.349349,75.7,67.5,Good,Moderate,True,False,1255.9,0.0,4,16.3,0,0,0
128002,FLAT SHOALS RD SE @ FAYETTEVILLE RD,33.72574,-84.322354,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,4,4,0
128004,FLAT SHOALS RD SE @ 2063,33.724449,-84.320117,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,3,3,0
128006,FLAT SHOALS RD SE @ KEYSTONE DR,33.723422,-84.318551,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,1,1,0
128050,BOULDERCREST DR SE @ SMITH ST SE,33.72147,-84.331417,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,0,0,0
128052,BOULDERCREST DR SE @ MARY DELL DR SE,33.722777,-84.331939,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,0,0,0
128054,BOULDERCREST DR SE @ WAINWRIGHT DR SE,33.723833,-84.332178,0.0,0.0,No Infrastructure,No Infrastructure,False,False,0.0,0.0,0,,0,0,0
